款式编号,款式名称,款式性别,产品线,款式分类,审核状态,是否定制,可做镶口,可做材质,材质颜色
KLZW028700,18K玫瑰金+K黄  双色耳坠,女,K金,耳饰,已审核,是,0,18K,彩金
KLPW028699,18K白色金 吊坠,女,K金,吊坠,已审核,是,0,18K,白
KLPW028698,18K白色金 吊坠,女,K金,吊坠,已审核,是,0,18K,白
KLPW028697,18K白色金 吊坠,女,K金,吊坠,已审核,是,0,18K,白
KLPW028696,18K黄色金 镂空葫芦吊坠,女,K金,吊坠,已审核,是,0,18K,白
KLPW028695,18K黄色金 吊坠,女,K金,吊坠,已审核,是,0,18K,黄
KLPW028694,18K黄色金 吊坠,女,K金,吊坠,已审核,是,0,18K,黄
KLPW028693,18K玫瑰金 吊坠,女,K金,吊坠,已审核,是,0,18K,玫瑰金
KLPW028692,18K玫瑰金 梅花吊坠,女,K金,吊坠,已审核,是,0,18K,玫瑰金
KLPW028691,18K玫瑰金  雪花吊坠,女,K金,吊坠,已审核,是,0,18K,玫瑰金
KLPW028690,18K玫瑰金 吊坠,女,K金,吊坠,已审核,是,0,18K,玫瑰金
KLPW028689,18K玫瑰金 镂空水滴吊坠,女,K金,吊坠,已审核,是,0,18K,玫瑰金
KLPW028669,18K玫瑰金 凤尾手链,女,K金,吊坠,已审核,是,0,18K,玫瑰金
KLPW028668,18K三色金 吊坠,女,K金,吊坠,已审核,是,0,18K,彩金
KLPW028667,18K黄金 叶子吊坠,女,K金,吊坠,已审核,是,0,18K,黄
KLPW028666,18K黄金 双面花吊坠,女,K金,吊坠,已审核,是,0,18K,黄
KLPW028665,18K黄金 镂空吊坠,女,K金,吊坠,已审核,是,0,18K,黄
KLPW028664,18K白金 梅花吊坠,女,K金,吊坠,已审核,是,0,18K,白
KLPW028663,18K黄金 星形吊坠,女,K金,吊坠,已审核,是,0,18K,黄
KLPW028662,18K黄金 梅花吊坠,女,K金,吊坠,已审核,是,0,18K,黄
KLPW028661,18K玫瑰金 星形吊坠,女,K金,吊坠,已审核,是,0,18K,玫瑰金
KLPW028660,18K玫瑰金 梅花吊坠,女,K金,吊坠,已审核,是,0,18K,玫瑰金
KLDW028631,白18K金翡翠A货耳钉,女,翡翠,耳饰,已审核,是,0,18K|PT950,白
KLNW028574,18K白金 心肖邦 项链,女,K金,项链,已审核,是,0,18K,白
KLNW028573,18K玫瑰金 心肖邦 项链,女,K金,项链,已审核,是,0,18K,玫瑰金
KLBW028572,18K玫瑰金 光面手镯,女,K金,手镯,已审核,是,0,18K,玫瑰金
KLBW028571,18K黄金 光面手镯,女,K金,手镯,已审核,是,0,18K,黄
KLNW028569,?PT950铂金项链 瓜子链 ,女,PT,项链,已审核,是,0,PT950,白
KLBW028568,18K白金 光面手镯,女,K金,手镯,已审核,是,0,18K,白
KLNW028565,PT950 长形盒仔 项链,女,PT,项链,已审核,是,0,PT950,白
KLNW028564,PT950 日字 项链,女,PT,项链,已审核,是,0,PT950,白
KLNW028563,PT950  O形竹节链 项链,女,PT,项链,已审核,是,0,PT950,白
KLNW028562,18K玫瑰金 方O字 项链,女,K金,项链,已审核,是,0,18K,玫瑰金
KLNW028561,18K玫瑰金 空心肖邦 项链,女,K金,项链,已审核,是,0,18K,玫瑰金
KLNW028559,18K白金 带高乐 项链,女,K金,项链,已审核,是,0,18K,白
KLNW028557,18K白金 带高乐 项链,女,K金,项链,已审核,是,0,18K,白
KLPW028553,18K绿碧玺吊坠,女,宝石,吊坠,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLPW028552,18K红碧玺吊坠,女,宝石,吊坠,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLPW028549,18K红碧玺吊坠,女,宝石,吊坠,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLPW028547,18K红碧玺吊坠,女,宝石,吊坠,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLNW028546,双环love套链-18K白,女,K金,项链,已审核,是,0,18K,白
KLNW028543,love套链-18K红,女,K金,项链,已审核,是,0,18K,玫瑰金
KLZW028536,18K金翡翠A货耳吊,女,翡翠,耳饰,已审核,是,0,18K|PT950,白|黄|玫瑰金
KLZW028535,18K金翡翠A货耳吊,女,翡翠,耳饰,已审核,是,0,18K|PT950,白|黄|玫瑰金
KLDW028534,18K玫瑰金翡翠A货耳钉,女,翡翠,耳饰,已审核,是,0,18K|PT950,白|黄|玫瑰金
KLNW028533,18K玫瑰金翡翠A货套链,女,翡翠,项链,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLPW028532,18K玫瑰金翡翠A货吊坠,女,翡翠,吊坠,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLNW028505,18K 白色套链-心形LOVE+心形光面,女,K金,项链,已审核,是,0,18K,白
KLNW028504,18K 黄色套链-心形LOVE+心形光面,女,K金,项链,已审核,是,0,18K,黄
KLDW028496,18K三色金皇冠耳订,女,K金,耳饰,已审核,是,0,18K,彩金
KLDW028495,18K三色耳订,女,K金,耳饰,已审核,是,0,18K,彩金
KLDW028494,18K玫瑰金耳订,女,K金,耳饰,已审核,是,0,18K,玫瑰金
KLDW028493,18K白心形耳订,女,K金,耳饰,已审核,是,0,18K,白
KLDW028492,18K白耳订,女,K金,耳饰,已审核,是,0,18K,白
KLDW028491,18K白耳订,女,K金,耳饰,已审核,是,0,18K,白
KLDW028490,18K白心形耳订,女,K金,耳饰,已审核,是,0,18K,白
KLSW028489,18K白梅花手链,女,K金,手链,已审核,是,0,18K,白
KLSW028488,18K玫瑰金方形字母手链,女,K金,手链,已审核,是,0,18K,玫瑰金
KLSW028487,18K三色金盒仔珠手链,女,K金,手链,已审核,是,0,18K,彩金
KLSW028486,18K玫瑰金盒仔珠手链,女,K金,手链,已审核,是,0,18K,玫瑰金
KLFW028485,18K三色金脚链-O字水滴片,女,K金,脚链,已审核,是,0,18K,彩金
KLPW028484,18K玫瑰金 吊坠-转运珠,女,K金,吊坠,已审核,是,0,18K,玫瑰金
KLPW028483,18K玫瑰金 吊坠-转运珠,女,K金,吊坠,已审核,是,0,18K,玫瑰金
KLPW028482,18K玫瑰金 吊坠-转运珠,女,K金,吊坠,已审核,是,0,18K,玫瑰金
KLPW028481,18K玫瑰金 吊坠,女,K金,吊坠,已审核,是,0,18K,玫瑰金
KLPW028480,18K三色金吊坠-冰激凌,女,K金,吊坠,已审核,是,0,18K,彩金
KLPW028479,18K三色金吊坠,女,K金,吊坠,已审核,是,0,18K,彩金
KLPW028478,18K三色金吊坠-钱罐,女,K金,吊坠,已审核,是,0,18K,彩金
KLPW028477,18K三色金吊坠-公主裙,女,K金,吊坠,已审核,是,0,18K,彩金
KLPW028475,18K三色金吊坠-钱袋,女,K金,吊坠,已审核,是,0,18K,彩金
KLPW028474,18K三色金吊坠-环珠,女,K金,吊坠,已审核,是,0,18K,彩金
KLPW028473,18K三色金吊坠-转运珠,女,K金,吊坠,已审核,是,0,18K,彩金
KLPW028472,18K三色金吊坠-香奈,女,K金,吊坠,已审核,是,0,18K,彩金
KLPW028471,18K三色金吊坠-一辈子,女,K金,吊坠,已审核,是,0,18K,彩金
KLNW028470,18K三色金 套链-七星 16寸：42cm+3cm链尾,女,K金,项链,已审核,是,0,18K,彩金
KLNW028469,18K三色金 套链-三星 16寸：42cm+3cm链尾,女,K金,项链,已审核,是,0,18K,彩金
KLQW028468,18K玫瑰金 套链-花环相扣 18寸：44cm,女,K金,其他,已审核,是,0,18K,玫瑰金
KLNW028467,18K玫瑰金 套链-心连心 16寸：42cm+3cm链尾,女,K金,项链,已审核,是,0,18K,玫瑰金
KLNW028466,18K三色金 套链 16寸：42cm+3cm链尾,女,K金,项链,已审核,是,0,18K,彩金
KLNW028465,18K黄三环套链 18寸：44cm-3cm链尾,女,K金,项链,已审核,是,0,18K,彩金
KLNW028464,18K白套链-蝴蝶字母  16寸：42cm+3cm链尾,女,K金,项链,已审核,是,0,18K,白
KLNW028463,18K双色套链双色四叶 16寸：40cm+3cm链尾,女,K金,项链,已审核,是,0,18K,玫瑰金
KLNW028462,18K玫瑰金字母链 16寸：40cm+3cm链尾,女,K金,项链,已审核,是,0,18K,玫瑰金
KLNW028461,18K玫瑰金字母链  16寸：40cm+3cm链尾,女,K金,项链,已审核,是,0,18K,玫瑰金
KLNW028460,18K玫瑰金字母链 16寸：40cm+3cm链尾,女,K金,项链,已审核,是,0,18K,玫瑰金
KLNW028459,18K玫瑰金字母链  16寸：40cm+3cm链尾,女,K金,项链,已审核,是,0,18K,玫瑰金
KLNW028458,18K玫瑰金O字链18寸：43cm-45cm,女,K金,项链,已审核,是,0,18K,玫瑰金
KLNW028457,18K玫瑰金 肖邦链16寸：40cm-42cm,女,K金,项链,已审核,是,0,18K,玫瑰金
KLNW028456,18K玫瑰金 蛇骨链 18寸：43cm-45cm,女,K金,项链,已审核,是,0,18K,玫瑰金
KLNW028455,18K玫瑰金 蛇骨链 16寸：40cm-42cm,女,K金,项链,已审核,是,0,18K,玫瑰金
KLNW028453,18K黄-侧身链18寸 43-45CM,女,K金,项链,已审核,是,0,18K,黄
KLNW028452,18K白金 心肖邦可调节 项链 18寸45cm,女,K金,项链,已审核,是,0,18K,白
KLNW028451,18K玫瑰金 圆O链 16寸：40cm-42cm,女,K金,项链,已审核,是,0,18K,玫瑰金
KLNW028396,18K 白套链-心形车花 42+3cm,女,K金,项链,已审核,是,0,18K,白
KLNW028395,18K 玫瑰金套链-心形LOVE+心形光面,女,K金,项链,已审核,是,0,18K,玫瑰金
KLNW028394,18K 玫瑰金套链-心形光面 42+2CM,女,K金,项链,已审核,是,0,18K,玫瑰金
KLNW028393,18K玫瑰金套链-心形车花 42+2CM,女,K金,项链,已审核,是,0,18K,玫瑰金
KLNW028392,18K 黄色套链心形光面 42+2CM,女,K金,项链,已审核,是,0,18K,黄
KLNW028391,18K 黄色套链心形车花 42+2cm,女,K金,项链,已审核,是,0,18K,黄
KLNW028379,18K 白色田字链 四叶草 16寸40-42CM,女,K金,项链,已审核,是,0,18K,白
KLNW028377,18K 彩金三色 嘴唇项链 16寸40-42CM,女,K金,项链,已审核,是,0,18K,彩金
KLDW028358,18K玫瑰金耳扣-辘珠边,女,K金,耳饰,已审核,是,0,18K,玫瑰金
KLDW028357,18K玫瑰金耳钉-蝴蝶,女,K金,耳饰,已审核,是,0,18K,玫瑰金
KLDW028356,18K玫瑰金耳钉-星星月亮,女,K金,耳饰,已审核,是,0,18K,玫瑰金
KLDW028355,18K玫瑰金耳钉-太阳花,女,K金,耳饰,已审核,是,0,18K,玫瑰金
KLDW028354,18K玫瑰金耳钉-玫瑰花,女,K金,耳饰,已审核,是,0,18K,玫瑰金
KLDW028353,18K白耳钉-四叶草车花,女,K金,耳饰,已审核,是,0,18K,白
KLDW028352,18K白耳钉-心形车花,女,K金,耳饰,已审核,是,0,18K,白
KLBW028351,18K黄-光面手镯,女,K金,手镯,已审核,是,0,18K,黄
KLBW028350,18K玫瑰金-光面手镯,女,K金,手镯,已审核,是,0,18K,玫瑰金
KLDW028334,PT951时尚耳钉 四叶草,女,PT,耳饰,已审核,是,0,PT950,白
KLDW028333,PT950时尚耳钉 镂空,女,PT,耳饰,已审核,是,0,PT950,白
KLNW028312,18K金 新闪O项链 玫瑰色 可拉伸可调节 18寸45CM ,女,K金,项链,已审核,是,0,18K,玫瑰金
KLRW028271,钻石女戒,女,钻石,女戒,已审核,是,0.30|0.50|1.00,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLNW028270,钻石套链,女,钻石,项链,已审核,是,0.1,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLPW028227,钻石吊坠,女,K金,项链,已审核,是,0,18K,玫瑰金|白|黄
KLRW028224,钻石女戒,女,钻石,女戒,已审核,是,0.1,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLRW028223,钻石女戒,女,钻石,女戒,已审核,是,0.10|0.20,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLSW028165,18K金-K黄色骨头手链 17CM链+3.5CM链尾,女,K金,手链,已审核,是,0,18K,黄
KLQW028158,18K金 珐琅烤漆胸针,女,宝石,其他,已审核,是,0,18K|PT950,彩金|黄|白|玫瑰金
KLSW028152,18K金-黄色水波纹手链,女,K金,手链,已审核,是,0,18K,黄
KLSW028151,18K金-红色水波纹手链,女,K金,手链,已审核,是,0,18K,玫瑰金
KLSW028150,18K金-红色蛇骨水波纹手链 17CM链,女,K金,手链,已审核,是,0,18K,玫瑰金
KLSW028147,18K金-白色骨头手链 17CM链+3.5CM链尾,女,K金,手链,已审核,是,0,18K,白
KLZW028112,18K金白东珠耳饰,女,珍珠,耳饰,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLZW028111,18K金白东珠耳饰 ,女,珍珠,耳饰,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLNX028105,18K黄-侧身链18寸 43-45CM,中性,K金,项链,已审核,是,0,18K,黄
KLNX028104,18K黄-卡地亚款方型O字链16寸40-42CM,中性,K金,项链,已审核,是,0,18K,黄
KLNX028103,18K黄-卡地亚款方型O字链18寸43-45CM,中性,K金,项链,已审核,是,0,18K,黄
KLNX028101,18K玫瑰金项链-卡地亚款项链 40-42CM ,中性,K金,项链,已审核,是,0,18K,玫瑰金
KLNX028100,18K玫瑰金项链-卡地亚款项链 43-45CM,中性,K金,项链,已审核,是,0,18K,玫瑰金
KLNX028099,18K白项链-嘴唇项链 16寸 40-42CM,中性,K金,项链,已审核,是,0,18K,白
KLNX028098,18K黄项链-嘴唇项链  16寸 40-42CM,中性,K金,项链,已审核,是,0,18K,黄
KLNX028097,18K玫瑰金项链-嘴唇项链 16寸40-42CM,中性,K金,项链,已审核,是,0,18K,玫瑰金
KLPW028089,18K金绿玉髓吊坠,女,宝石,吊坠,已审核,是,0,18K|PT950,黄|白|玫瑰金
KLBW028070,18K三色光珠 玫瑰金手镯,女,K金,手镯,已审核,是,0,18K,彩金
KLBW028069,18K白光珠 玫瑰金手镯,女,K金,手镯,已审核,是,0,18K,彩金
KLBW028068,18K金 黄色 细线手镯,女,K金,手镯,已审核,是,0,18K,黄
KLBW028067,18K三色金波纹手镯,女,K金,手镯,已审核,是,0,18K,彩金
KLBW028066,18K玫瑰金 三线手镯,女,K金,手镯,已审核,是,0,18K,玫瑰金
KLBW028065,18K玫瑰金 个性花款手镯,女,K金,手镯,已审核,是,0,18K,玫瑰金
KLBW028064,18K黄金 个性花款手镯—三颗爱心,女,K金,手镯,已审核,是,0,18K,彩金
KLPW028063,Pt950吊坠—小树,女,PT,吊坠,已审核,是,0,PT950,白
KLPW028062,Pt950吊坠—羊羊,女,PT,吊坠,已审核,是,0,PT950,白
KLPW028061,18K黄金吊坠—光面爱心,女,K金,吊坠,已审核,是,0,18K,黄
KLPW028060,18K黄金吊坠—旋转爱心,女,K金,吊坠,已审核,是,0,18K,黄
KLNW028049,18K白金项链—卡地亚方形O字链 18寸,女,K金,项链,已审核,是,0,18K,白
KLNW028048,18K白金项链—卡地亚方形O字链 16寸,女,K金,项链,已审核,是,0,18K,白
KLNW028047,18K 彩金三色 嘴唇项链 18寸45CM,女,K金,项链,已审核,是,0,18K,彩金
KLPW028040,铂PT950吊坠—杨桃,女,K金,吊坠,已审核,是,0,18K,彩金
KLRW027971,18K金 彩金三色 心心相印 戒指,女,K金,女戒,已审核,是,0,18K,彩金
KLPW027917,珂兰钻石 白18K金钻石环镶红宝碧玺吊坠A,女,宝石,吊坠,已审核,是,0,18K|PT950,黄|白|玫瑰金
KLNW027851,珂兰钻石 18K金天然白珍珠项链Z,女,珍珠,项链,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLPW027844,珂兰钻石 18K金天然白珍珠项链Z,女,珍珠,吊坠,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLPW027840,珂兰钻石 18K金天然白珍珠吊坠Z,女,珍珠,吊坠,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLPW027837,珂兰钻石 18K金天然白珍珠吊坠Z,女,珍珠,吊坠,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLPW027832,珂兰钻石 18K金天然白珍珠吊坠Z,女,珍珠,吊坠,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLDW027822,珂兰钻石 18K金天然白珍珠耳钉Z,女,珍珠,耳饰,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLNW027817,珂兰钻石 18K金天然白珍珠项链Z,女,珍珠,项链,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLPW027811,18K玫瑰金吊坠—梅花,女,K金,吊坠,已审核,是,0,18K,玫瑰金
KLPW027810,18K玫瑰金吊坠—小铃铛,女,K金,吊坠,已审核,是,0,18K,玫瑰金
KLNW027809,PT950圆珠间O字项链,女,PT,项链,已审核,是,0,PT950,白
KLPW027803,S925银镶 石榴红水晶吊坠,女,宝石,吊坠,已审核,是,0,18K|PT950,玫瑰金
KLPW027799,18K坦桑石吊坠,女,宝石,吊坠,已审核,是,0,18K|PT950,玫瑰金
KLRX027797,PT950戒指——橄榄叶,中性,PT,情侣戒,已审核,是,0,18K|PT950,白
KLNW027790,18K玫瑰金套链—梅花型链牌,女,K金,项链,已审核,是,0,18K,玫瑰金
KLNW027789,18K玫瑰金套链—方型链牌,女,K金,项链,已审核,是,0,18K,玫瑰金
KLNW027788,18K玫瑰金套链—椭圆链牌,女,K金,项链,已审核,是,0,18K,玫瑰金
KLPW027770,珂兰钻石 18K金天然黄水晶吊坠C ,女,宝石,吊坠,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色|黄|白|玫瑰金
KLPW027756,珂兰钻石 18K金红碧玺吊坠,女,宝石,吊坠,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLPW027755,珂兰钻石 18K白黑珍珠吊坠,女,珍珠,吊坠,已审核,是,0,18K|PT950,黄|白|玫瑰金
KLPW027754,珂兰钻石 18K白黑珍珠吊坠,女,珍珠,吊坠,已审核,是,0,18K|PT950,黄|白|玫瑰金
KLPW027751,珂兰钻石 白18K金黑珍珠吊坠Z,女,珍珠,吊坠,已审核,是,0,18K|PT950,黄|白|玫瑰金
KLDW027748,珂兰钻石 白18K金黑珍珠耳钉Z,女,珍珠,耳饰,已审核,是,0,18K|PT950,黄|白|玫瑰金
KLPW027745,珂兰钻石 白18K黑珍珠吊坠Z,女,珍珠,吊坠,已审核,是,0,18K|PT950,黄|白|玫瑰金
KLPW027737,珂兰钻石 白18K金黑珍珠吊坠Z,女,珍珠,吊坠,已审核,是,0,18K|PT950,黄|白|玫瑰金
KLPW027736,珂兰钻石 白18K金黑珍珠吊坠Z,女,珍珠,吊坠,已审核,是,0,18K|PT950,黄|白|玫瑰金
KLSW027700,18K金 黄色手链 亮面 骨头,女,K金,手链,已审核,是,0,18K,黄
KLSW027699,18K金 黄色手链  车花  贝壳,女,K金,手链,已审核,是,0,18K,黄
KLSW027698,18K金 三色手链  亮面车花  贝壳,女,K金,手链,已审核,是,0,18K,彩金
KLNW027697,PT950项链   长方链,女,PT,项链,已审核,是,0,PT950,白
KLPW027675,空托吊坠,女,钻石,吊坠,已审核,是,0.30|0.60,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLPW027669,空托吊坠,女,钻石,吊坠,已审核,是,0.4,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLPW027668,空托吊坠,女,钻石,吊坠,已审核,是,0.3,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLSW027630,PT950杨桃手链,女,PT,手链,已审核,是,0,PT950,白
KLPX027627,小萌鸭,中性,宝石,吊坠,已审核,是,0,18K|PT950,黄|白|玫瑰金
KLPW027593,珂兰钻石 18K玫瑰金钻石镶嵌天然红碧玺吊坠女款 火凤凰C,女,宝石,吊坠,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLPW027592,落羽,女,宝石,吊坠,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLPW027487,情缘,女,宝石,吊坠,已审核,是,0,18K|PT950,黄|白|玫瑰金
KLPW027486,珂兰钻石 18K金镶嵌约6克拉天然红玛瑙吊坠项链女 萌马C,女,宝石,吊坠,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLPW027484,珂兰钻石 18K玫瑰金钻石镶嵌约3克拉紫水晶吊坠女 绮丽C,女,宝石,吊坠,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLPW027483,玉兔,女,宝石,吊坠,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLPW027480,春柔,女,宝石,吊坠,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色|黄|白|玫瑰金
KLRX027470,PT950情侣对戒  新品,中性,PT,情侣戒,已审核,是,0,18K|PT950,白
KLPW027455,18k金彩钻链坠,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLNW027376,18K盒子链 金黄色 16寸40-42CM,女,K金,项链,已审核,是,0,18K,黄
KLNW027229,18K白水波纹项链 16寸40-42CM,女,K金,项链,已审核,是,0,18K,白
KLNW027126,18K金 瓜子项链 三色彩金 16寸40-42CM,女,K金,项链,已审核,是,0,18K,彩金
KLNW027122,18K金 瓜子项链 白色 16寸40-42CM,女,K金,项链,已审核,是,0,18K,白
KLNW027111,18k白 项链 O字链 16寸40-42CM,女,K金,项链,已审核,是,0,18K,白
KLPW027088,18K白金紫晶吊坠,女,K金,吊坠,已审核,是,0,18K,白
KLPW027036,10K 紫晶吊坠,女,宝石,吊坠,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLPW026999,PT950铂金吊坠   猫咪,女,PT,吊坠,已审核,是,0,PT950,白
KLNW026963,18K玫瑰色 项链 闪O字链 16寸40-42CM,女,K金,项链,已审核,是,0,18K,玫瑰金
KLNW026962,18K黄 项链 闪O字链 16寸40-42CM,女,K金,项链,已审核,是,0,18K,黄
KLPW026950,18K红金铬碧玺吊坠,女,宝石,吊坠,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLPW026944,18K金红宝碧玺吊坠,女,宝石,吊坠,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLPW026937,PT950铂金吊坠  转运珠   四叶草,女,PT,吊坠,已审核,是,0,PT950,白
KLNW026934,PT950铂金项链 水波纹链 16寸40-42CM,女,PT,项链,已审核,是,0,PT950,白
KLNW026933,四叶草,女,钻石,项链,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLNW026928,PT950铂金项链   嘴唇链  ,女,PT,项链,已审核,是,0,PT950,白
KLRM026922,PT950铂金  亮面间钉沙  男士戒指 ,男,PT,男戒,已审核,是,0,18K|PT950,白
KLRM026916,PT950铂金  简约拉丝工艺   男士戒指,男,PT,男戒,已审核,是,0,18K|PT950,白
KLSW026911,PT950铂金  山茶花   手链,女,PT,手链,已审核,是,0,PT950,白
KLSW026910,PT950铂金  珠联璧合系列   手链B版,女,PT,手链,已审核,是,0,PT950,白
KLSW026909,PT950铂金  珠联璧合系列   手链A版,女,PT,手链,已审核,是,0,PT950,白
KLDW026906,PT950铂金  蝴蝶结  耳钉,女,PT,耳饰,已审核,是,0,PT950,白
KLDW026905,PT950铂金  三角镂空  耳钉,女,PT,耳饰,已审核,是,0,PT950,白
KLDW026902,PT950铂金 扭转系列耳钉  梅花烙,女,PT,耳饰,已审核,是,0,PT950,白
KLNW026898,PT950铂金   杨桃间纽片  项链,女,PT,项链,已审核,是,0,PT950,白
KLPW026895,PT950铂金吊坠  水滴型镂空,女,PT,吊坠,已审核,是,0,PT950,白
KLPX026893,PT950铂金转运珠吊坠  球型镂空,中性,PT,吊坠,已审核,是,0,18K|PT950,白
KLSW026876,18K彩金 杨桃手链,女,K金,手链,已审核,是,0,18K,彩金
KLDW026874,18K金 闪耀系列 耳钉 玫瑰色,女,K金,耳饰,已审核,是,0,18K,玫瑰金
KLDW026873,18K金 闪耀系列 耳钉 黄色,女,K金,耳饰,已审核,是,0,18K,黄
