货号,款号,老款式分类,老产品线,新产品线,新款式分类,正确新产品线,正确新款式分类
150702683208,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,情侣戒
150702683209,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,女戒
150702683210,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,女戒
150702683213,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,情侣戒
150702683214,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,女戒
150702683215,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,女戒
150702683216,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,情侣戒
150702683217,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,女戒
150702683219,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,女戒
150702683222,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,情侣戒
150702683223,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,情侣戒
150702683224,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,女戒
150702683225,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,女戒
150702683228,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,情侣戒
150702683229,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,女戒
150702683230,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,女戒
150702683231,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,情侣戒
150702683233,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,女戒
150702683234,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,女戒
150702683235,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,女戒
150702683236,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,情侣戒
150702683237,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,女戒
150702683238,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,女戒
150702683239,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,情侣戒
150702683240,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,女戒
150702683241,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,情侣戒
150702683242,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,女戒
150702683243,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,情侣戒
150702683244,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,女戒
150702683245,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,情侣戒
150702683246,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,情侣戒
150702683247,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,女戒
150702683248,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,女戒
150702683249,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,情侣戒
150702683250,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,情侣戒
150702683251,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,情侣戒
150702683253,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,女戒
150702683254,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,情侣戒
150702683255,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,女戒
150702683256,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,女戒
